,A_1,A_10,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,B_1,B_10,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9
 g__1-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5886380605906556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4043957587248087e-05,0.0,5.765931990832168e-05,0.0
 g__AF12,1.7125926940795672e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.531828363543934e-05,5.623269087484009e-05,0.0,0.0,0.0,0.0,5.342665188529298e-05,1.3990122973180934e-05,0.0,0.0,0.00014359563469270534,0.0003603707494270105,1.599334676774462e-05
 g__Abiotrophia,0.0,0.0,1.650437365901964e-05,0.0,5.04261005496445e-05,6.39785032229171e-05,3.3848965914091324e-05,0.0,0.0,0.0,1.408014418067641e-05,0.0,1.7447744006699935e-05,9.34966407992627e-05,0.0,0.0,4.213187276174426e-05,0.0,0.0,1.599334676774462e-05
 g__Acidaminococcus,0.005976948502337689,0.00015820054075821205,0.00021455685756725532,0.0001430615164520744,0.00011766090128250382,0.0003678763935317733,0.00037233862505500455,0.000142977425453159,0.00014058172718710022,0.0002711251694532309,0.0004224043254202923,0.00023673495154824658,0.0001570296960602994,0.00022706327051249517,8.39407378390856e-05,0.00015700312436217482,0.006544484235657609,0.00019744399770246985,0.00017297795972496505,9.59600806064677e-05
 g__Actinomyces,0.00013700741552636538,0.000719093367082782,0.0005116355834296089,0.00024320457796852646,0.00013446960146571866,0.00015994625805729274,0.0016247503638763836,6.354552242362623e-05,0.00021087259078065034,0.000195812622382889,0.00023936245107149896,6.312932041286575e-05,0.00012213420804689954,0.00032055991131175787,8.39407378390856e-05,6.280124974486992e-05,0.00018257144863422512,0.0001615450890292935,5.765931990832168e-05,3.198669353548924e-05
 g__Adlercreutzia,0.00015413334246716103,0.00028763734683311283,0.0003796005941574517,0.0016452074391988555,0.0005378784058628747,0.0006237904064234417,8.462241478522832e-05,0.000142977425453159,0.00018275624534323028,0.0003313752071095044,0.0011545718228154656,0.00033142893216754523,0.0006804620162612974,0.00029384658536911137,0.002770044348689825,0.0004867096855227419,0.00023874727898321748,0.0003948879954049397,0.00024505210961036717,0.00036784697565812624
 g__Aggregatibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8116345437420045e-05,1.5062509414068383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.441482997708042e-05,0.0
 g__Akkermansia,0.00010275556164477402,0.000517747224299603,4.951312097705892e-05,0.00709585121602289,0.0056477232615601836,0.00015994625805729274,0.00015232034661341097,3.177276121181311e-05,0.0002530471089367804,0.00010543756589847869,0.00035200360451691025,0.017297433793125216,0.00038385036814739856,0.001041819711763213,0.0649421508415059,0.00036110718603300204,0.0004072747700301945,0.0003948879954049397,0.00377668545399507,0.0004478137094968493
 g__Alistipes,1.7125926940795672e-05,4.314560202496692e-05,4.951312097705892e-05,0.00012875536480686696,0.00011766090128250382,4.7983877417187827e-05,5.0773448871136986e-05,0.00012709104484725245,7.029086359355011e-05,0.0034794396746497965,0.0,3.1564660206432876e-05,3.489548801339987e-05,0.0,4.19703689195428e-05,1.570031243621748e-05,8.426374552348851e-05,0.00012564618035611718,7.20741498854021e-05,0.00022390685474842466
 g__Allobaculum,0.0011131852511517186,5.752746936662256e-05,0.002673708532761182,0.0008011444921316165,0.0023868354260165063,0.003934677948209402,0.00020309379548454795,1.5886380605906556e-05,0.00011246538174968018,1.5062509414068383e-05,0.0011264115344541128,3.1564660206432876e-05,0.0028614300170987893,0.000707903137480132,0.0022943801676016734,0.002747554676338059,0.0003932308124429464,1.7949454336588168e-05,0.00015856312974788463,0.0
 g__Anaerofilum,0.0,7.190933670827821e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.570031243621748e-05,0.0,0.0,4.324448993124126e-05,0.0
 g__Anaerofustis,0.0,1.438186734165564e-05,0.0,1.4306151645207439e-05,3.3617400366429666e-05,0.0,1.6924482957045662e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.3356662971323245e-05,2.798024594636187e-05,0.0,2.8087915174496174e-05,0.0,0.0,1.599334676774462e-05
 g__Anaeroplasma,0.0,0.0,0.0,7.15307582260372e-05,1.6808700183214833e-05,0.0,0.0,0.0,2.8116345437420045e-05,3.0125018828136767e-05,0.0,0.0,0.0,1.3356662971323245e-05,0.0,0.0,0.0,0.0,4.324448993124126e-05,0.0
 g__Anaerostipes,0.001096059324210923,0.001438186734165564,0.0022776035649447104,0.0011158798283261802,0.011177785621837863,0.0011196238064010492,0.00020309379548454795,0.0006036824630244491,0.001335526408277452,0.0021388763367977104,0.004153642533299541,0.006391843691802658,0.0035418920333600864,0.001255526319304385,0.003007876439233901,0.003014459987753756,0.000491538515553683,0.003751435956346927,0.0038487596038804723,0.004446150401433004
 g__Anaerotruncus,6.850370776318269e-05,0.0002444917448081459,9.902624195411784e-05,0.00011444921316165951,1.6808700183214833e-05,9.596775483437565e-05,0.00011847138069931964,0.000285954850906318,0.0003373961452490405,0.00045187528242205153,7.040072090338205e-05,0.0004103405826836274,8.723872003349967e-05,6.678331485661622e-05,0.00011192098378544747,1.570031243621748e-05,0.0001966154062214732,0.0005743825387708214,0.000547763539129056,0.0005917538304065509
 g__Arthrobacter,1.7125926940795672e-05,2.876373468331128e-05,1.650437365901964e-05,2.8612303290414877e-05,5.04261005496445e-05,0.0,1.6924482957045662e-05,0.0006990007466598885,1.4058172718710023e-05,1.5062509414068383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3848363009764504e-05,0.0,0.0
