Clonazepam	氯硝西泮
Estazolam	艾司唑仑
Midazolam	咪达唑仑
zolpidem	唑吡坦
lorazepam	劳拉西泮
Temazepam	替马西泮
oxazepam	奥沙西泮
Bromazepam	溴西泮
Nitrazepam	硝西泮
Diazepam	地西泮
Valproic Acid	丙戊酸
lamotrigine	拉莫三嗪
Topiramate	托吡酯
Levetiracetam	左乙拉西坦
Carbamazepine	卡马西平
Phenytoin sodium	苯妥英钠
Phenobarbital	苯巴比妥
Donepezil	多奈哌齐
memantine	美金刚
rivastigmine	卡巴拉汀
Vancomycin	万古霉素
Linezolid	利奈唑胺
Teicoplanin	替考拉宁
Imipenem	亚胺培南
Meropenem	美洛培南
Moxifloxacin	莫西沙星
Isoniazid	异烟肼
Rifampin	利福平
voriconazole	伏立康唑
Fluconazole	氟康唑
lamivudine	拉米夫定
tenofovir	替诺福韦
entecavir	恩替卡韦
efavirenz	依非韦伦
taxol	紫杉醇
Docetaxel	多西他赛
5-Fluorouracil	5-氟尿嘧啶
Methotrexate	甲氨蝶呤
Rivaroxaban	利伐他班
dabigatran	达比加群
E	肾上腺素
MN	变肾上腺素
NE	去甲肾上腺素
NMN	去甲变肾上腺素
VMA	香草苦杏仁酸
DA	多巴胺
HVA	高香草酸
Ala	丙氨酸
bAla	β-丙氨酸
Arg	精氨酸
Harg	同型精氨酸
Glu	谷氨酸
Gly	甘氨酸
Leu	亮氨酸
Lys	赖氨酸
Orn	鸟氨酸
Phe	苯丙氨酸
Pro	脯氨酸
Hpro	同型脯氨酸
Hyp	羟基脯氨酸
Ser	丝氨酸
Val	缬氨酸
Cit	瓜氨酸
Tyr	酪氨酸
His	组氨酸
1MHis	1-甲基组氨酸
3MHis	3-甲基组氨酸
6AHC	6-氨基己酸
Abu	2-氨基丁酸
GABA	γ-氨基丁酸
Aad	α-氨基己二酸
Asp	天门冬氨酸
Asn	天门冬酰胺
Trp	色氨酸
Sar	肌氨酸
bAib	3-氨基异丁酸
KC	犬尿氨酸
Thr	苏氨酸
Ile	异亮氨酸
Met	甲硫氨酸
CA	胆酸
LCA	石胆酸
DCA	脱氧胆酸
UDCA	熊脱氧胆酸
CDCA	鹅脱氧胆酸
GCA	甘氨胆酸
GLCA	甘氨石胆酸
GDCA	甘氨脱氧胆酸
GUDCA	甘氨熊脱氧胆酸
GCDCA	甘氨鹅脱氧胆酸
TCA	牛磺胆酸
TLCA	牛磺石胆酸
TDCA	牛磺脱氧胆酸
TUDCA	牛磺熊脱氧胆酸
TCDCA	牛磺鹅脱氧胆酸
